California,189
Indiana,139
New York,120
Florida,116
Texas,114
Pennsylvania,84
Georgia,56
Illinois,53
Michigan,50
Virginia,47
Ohio,47
New Jersey,46
Washington,43
North Carolina,39
Minnesota,35
Arizona,33
Wisconsin,32
Massachusetts,28
Tennessee,27
Colorado,27
Oregon,27
Maryland,24
Missouri,23
Iowa,22
Alabama,22
Oklahoma,19
No response,19
Kansas,19
Arkansas,18
South Carolina,17
Connecticut,16
Louisiana,15
Kentucky,15
Nebraska,15
Alaska,15
Utah,14
Nevada,10
New Hampshire,10
Idaho,9
Mississippi,7
Rhode Island,7
Montana,7
Hawaii,7
West Virginia,6
Maine,6
North Dakota,5
New Mexico,5
Vermont,4
District of Columbia,4
South Dakota,3
Puerto Rico,2
American Samoa,2
Wyoming,2
Guam,1
Delaware,1
Virgin Islands,1
